Descrição;Categoria;Tipo;Valor;Status;Tag;Observação
Nubank Babi — item 1;Cartão de crédito;Despesa;11,84;Não pago;Barbara;Detalhe fatura Jun/2026
Nubank Babi — item 2;Cartão de crédito;Despesa;23,75;Não pago;Barbara;Detalhe fatura Jun/2026
Nubank Babi — item 3;Cartão de crédito;Despesa;10,45;Não pago;Barbara;Detalhe fatura Jun/2026
Nubank Babi — item 4;Cartão de crédito;Despesa;55,98;Não pago;Barbara;Detalhe fatura Jun/2026
Nubank Babi — item 5;Cartão de crédito;Despesa;33,30;Não pago;Barbara;Detalhe fatura Jun/2026
Nubank Babi — item 6;Cartão de crédito;Despesa;56,28;Não pago;Barbara;Detalhe fatura Jun/2026
Nubank Babi — item 7;Cartão de crédito;Despesa;9,99;Não pago;Barbara;Detalhe fatura Jun/2026
Nubank Babi — item 8;Cartão de crédito;Despesa;9,96;Não pago;Barbara;Detalhe fatura Jun/2026
Nubank Babi — item 9;Cartão de crédito;Despesa;133,45;Não pago;Barbara;Detalhe fatura Jun/2026
Nubank Babi — item 10;Cartão de crédito;Despesa;29,90;Não pago;Barbara;Detalhe fatura Jun/2026
Nubank Babi — item 11;Cartão de crédito;Despesa;26,90;Não pago;Barbara;Detalhe fatura Jun/2026
Nubank Babi — item 12;Cartão de crédito;Despesa;16,45;Não pago;Barbara;Detalhe fatura Jun/2026
Nubank Babi — item 13;Cartão de crédito;Despesa;45,00;Não pago;Barbara;Detalhe fatura Jun/2026
Nubank Babi — item 14;Cartão de crédito;Despesa;8,00;Não pago;Barbara;Detalhe fatura Jun/2026
Nubank Babi — item 15;Cartão de crédito;Despesa;60,55;Não pago;Barbara;Detalhe fatura Jun/2026
Presente mãe (Carmo);Outros;Despesa;43,22;Não pago;Barbara;Nubank Babi Jun/2026
Presente (Carmo);Outros;Despesa;17,86;Não pago;Barbara;Nubank Babi Jun/2026
Presente mãe (Bruno);Outros;Despesa;43,22;Não pago;Barbara;Nubank Babi Jun/2026
Presente mãe (Bruno);Outros;Despesa;17,86;Não pago;Barbara;Nubank Babi Jun/2026
Outros Nubank;Cartão de crédito;Despesa;22,50;Não pago;Barbara;Detalhe fatura Jun/2026
Outros Nubank;Cartão de crédito;Despesa;56,00;Não pago;Barbara;Detalhe fatura Jun/2026
